group,all,male,female,16-24,25-34,35-44,45-54,55-64,65_over
2015,14.54252179,17.91988087,11.30762422,8.512931034,16.17788462,20.80593155,20.9675646,13.86643572,6.957652303
2016,17.27265086,21.25702606,13.45401174,15.68965517,20.45112782,21.46118721,19.62209302,16.4893617,11.32075472
2017,18.27956989,21.37014315,15.36203523,13.62068966,24.39759036,22.56097561,18.60465116,20.56737589,11.57024793
2018,18.39540115,21.56361778,15.30562347,12.5862069,23.79518072,22.52663623,20.49418605,21.27659574,11.32075472
2019,20.56331007,25.12768131,16.22016561,16.45833333,24.45414847,24.57496136,23.82978723,23.20819113,12.67916207
2020,22.6050045,25.62088493,19.72917674,16.56143046,21.56611468,29.7748042,28.84121662,23.57941732,15.92300164
2021,25.00324318,28.0755687,22.0659645,15.75650699,25.15957915,28.83310725,32.78115735,27.97546227,18.79788352
2022,26.96729013,29.54135048,24.50472262,18.92968347,28.27732369,32.24379836,35.02510097,31.20326328,17.34489785
