year,Download Games,Gaming Networks,Mobile Games,Online Games,Total
2017,0.98,0.09,1.95,0.65,3.68
2018,1.02,0.1,2.4,0.74,4.27
2019,1.07,0.11,3.07,0.86,5.13
2020,1.21,0.15,3.42,1.1,5.91
2021,1.29,0.17,4.36,1.26,7.15
2022,1.19,0.16,4.85,1.21,7.55
2023,1.36,0.18,5.59,1.42,8.84
2024,1.46,0.2,6.13,1.54,9.78
2025,1.54,0.21,6.58,1.64,10.59
2026,1.62,0.22,6.95,1.73,11.28
2027,1.7,0.23,7.32,1.83,11.9
