,Women,Men
Legue of Legends,78,100
Fortnite,97,73
Grand Theft Auto,81,78
Dota,110,54
Counter Strike,93,66
Call of Duty,61,69
Herthstone,37,74
Rocket League,86,53
Halo,45,64
Overwatch,91,42
Pokemon GO,52,59
Destiny,37,54
Soul Calibur,69,28
Heroes of the Storm,38,45
Starcraft,57,29
Skyrim,36,40
Super Smash bros,25,36
