App,Revenue (£mm)
Roblox,39
Coin Master,37
Candy Crush Saga,34
Royal Match,16
Clash of Clans,13
State of Survival,12.7
Homescapes,12.5
Pokemon Go,12.1
Evony: The King's Return,11
Candy Crush Soda Saga,10
