group,Male,Female,16-24,25-34,35-44,45-54,55-64,65-74
2013,46,38,71,62,45,43,28,13
2014,47,41,73,62,51,39,26,19
2015,44,39,66,63,44,42,25,17
2016,41,32,67,50,42,27,23,21
2017,41,31,70,49,40,29,23,16
2018,44,32,65,59,36,35,23,23
2019,46,32,73,52,41,40,24,19
2020,61,63,92,82,76,62,43,30
2021,63,56,88,79,73,62,47,26
2022,55,56,88,76,67,54,41,
