year,LootBox,Pay to Win,Cosmetic
22/04/2012,20.71591281,9.041021065,27.98247073
29/04/2012,20.87406909,9.860242159,28.9275961
06/05/2012,20.0077086,9.110516116,29.88301823
13/05/2012,19.79862837,8.264735627,27.983458
20/05/2012,20.26691281,7.697849446,26.96661132
27/05/2012,20.59187663,8.548573918,27.95178628
03/06/2012,21.63493376,9.263726033,29.58195337
10/06/2012,22.32895397,8.134218095,29.32832269
17/06/2012,22.82457984,7.764076438,29.06337236
24/06/2012,25.78836768,7.393199303,31.83162729
01/07/2012,23.66973739,9.712158074,32.38993259
08/07/2012,22.53312247,10.37812801,32.56422207
15/07/2012,20.92768489,11.67520619,31.84224317
22/07/2012,22.45200151,10.9365338,31.69195498
29/07/2012,24.78645028,10.25612831,33.13261481
05/08/2012,23.59255885,10.36582566,31.77667736
12/08/2012,30.61844173,9.281108562,38.14249309
19/08/2012,34.1189522,8.145946977,40.92683591
26/08/2012,33.07526444,7.214824624,42.07963835
02/09/2012,25.90112362,5.329038837,46.46505136
09/09/2012,26.08112152,5.532319082,43.23142085
16/09/2012,25.17007079,6.372050191,44.53234231
23/09/2012,26.77349337,6.380172377,45.5443532
30/09/2012,27.21801146,7.841834968,48.07937871
07/10/2012,27.63151809,8.247195293,47.42103248
14/10/2012,28.45785601,8.400624285,48.33930771
21/10/2012,32.26351904,8.544850783,48.53556219
28/10/2012,33.75956306,9.176225683,50.25599129
04/11/2012,31.67271342,9.334056502,48.19799125
11/11/2012,30.64794712,8.172371622,49.43959204
18/11/2012,30.6049294,8.838682378,48.79199675
25/11/2012,31.05782255,9.903632469,48.32299495
02/12/2012,32.84921209,9.587245761,48.86285224
09/12/2012,34.92671535,8.855548918,49.67625054
16/12/2012,36.39212973,8.880072683,50.87895824
23/12/2012,31.02167885,10.69371501,49.661418
30/12/2012,28.57112163,10.12340373,46.61442533
01/01/2013,30.99236079,9.086736578,47.57362612
08/01/2013,34.29760179,7.862139504,49.27615379
15/01/2013,36.00357968,8.139166062,50.90814739
22/01/2013,37.88744164,7.121070967,52.53114078
29/01/2013,38.36940984,7.27682437,51.72629032
05/02/2013,39.86950501,6.961168169,51.85321615
12/02/2013,42.09123257,7.727946228,54.13487506
19/02/2013,42.7122549,8.103870118,56.28960209
26/02/2013,41.80207394,14.00313845,58.17091027
05/03/2013,41.41752294,16.11381963,58.69446288
12/03/2013,42.7414099,13.34265509,57.39633697
19/03/2013,43.06431877,11.01842217,56.23333547
26/03/2013,42.55415978,14.11242917,57.23425445
02/04/2013,42.97679941,11.87338966,55.2435895
09/04/2013,44.05091949,11.08730858,55.75491835
16/04/2013,44.78964468,10.93383051,56.35913501
23/04/2013,44.99972629,10.23368812,56.05030691
30/04/2013,44.60293584,11.17464703,57.24883493
07/05/2013,45.50113131,10.07515608,58.35947252
14/05/2013,48.11893743,8.388812967,60.54030922
21/05/2013,47.59892269,9.317188534,60.40796637
